username,media_scrape_dt,media_url,medadata_scrape,likes,comments
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1641698484175601439_2380764398,2017-11-07 00:54:08.811854,"['gladys7295', 'rosedaza', 'fit_y_fat', 'laguna_motion', 'soyfrancovip', 'adeli_2', 'kenny.pineda', 'aesteban_life', 'mrjuanesteban']",[]
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1635022694805638572_2380764398,2017-11-07 00:54:10.888143,"['karolynefrancomf', 'bossbabediva', 'prophecyvision', 'cosmopolizando', 'd3751599339', 'adeli_2', 'yami020713', 'perezzzaldana', 'aesteban_life', 'armael', '_the_creditqueen', 'xabone', 'cali.key', 'benofbuff', 'mike_t_visionlogs']","['igfitmotivationn', 'moar_sound', 'tri_hannes']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1633038236002964513_2380764398,2017-11-07 00:54:12.807137,"['karolynefrancomf', 'bossbabediva', 'prophecyvision', '_the_creditqueen', 'cosmopolizando', 'sebas_18i', 'd3751599339', 'liz.yareli', 'adeli_2', 'iamkevincourtois', 'omoomakjtphc0', 'armael', 'paprykmazurek', 'cali.key', 'reza_janebi']","['regineaf', 'miavk', 'kimicoyo', 'nadirarr', 'bri_eliz', 'moar_sound']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1626294076164016210_2380764398,2017-11-07 00:54:14.061824,"['karolynefrancomf', 'tfiels', 'builduapp', 'sotomayoreva', 'laeliimoyano', 'mujstyle', 'themiamistyle', 'twosweet_hubcity', 'la_alii_mylife', 'adeli_2', 'marahcar', 'robgreenpromo', 'ashamusica', 'gracem_wilson', 'feralbalg']","['reiki.time', 'rekure', 'themiamistyle', 'thejimmyherman', 'escape_to_beauty', 'from_seaside_with_a_kiss', 'mindmusclespirit', 'thefeldmaraesthetics', 'moar_sound', 'kahramusic']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1623748700152443015_2380764398,2017-11-07 00:54:15.894152,"['bloomtwins', 'jenniferblakeslee', 'sotomayoreva', 'irek_bekbaev', 'miavk', 'djdrhavoc', 'themiamistyle', 'dantesboxes', 'versusamethysta', 'billionaire_hustle', 'robgreenpromo', 'noname27official', 'ajperfectfit', 'michelle_monk', 'romeylenoficial']","['kolaj', 'acevedo5204', 'npbentley', 'diannikalena', 'chrisamos', 'hennyfromtherose', 'lukasmarxmusic']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1615746356923978102_2380764398,2017-11-07 00:54:17.213183,"['thisisbailee', 'aliozel1996', 'bloomtwins', 'sotomayoreva', 'djdrhavoc', 'airies_boom', 'buttersupplyco', 'tombaratella', 'noname27official', 'luciaaa1443', 'yosoyjuanse', 'tasiacarvalho', 'noely_cenn', 'setorii', 'romeylenoficial']","['amrit.ghatore', 'a1jewels.us', 'gihceleste', 'yenohbee__', '_a.zip', 'coachrexii', 'flybirdsunnies', 'davidvalencia111', 'hennyfromtherose', 'mrdavidrothman']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1613053054193851557_2380764398,2017-11-07 00:54:18.744240,"['sotomayoreva', 'becca_becca90', 'lostinbimini', 'winappleiphone8', 'airies_boom', 'your.igmanager', 'ngynjfry226', 'iaudreyfisher', 'luciaaa1443', 'shawnbarron', 'hevilevi', 'xemileighx', 'tasiacarvalho', 'noely_cenn', 'kolaj']","['wiredtowin', 'masoneastn', 'lostinbimini', 'producedbythabombsquad', 'visionarykay_', 'flybirdsunnies', 'tatianac25', 'onlinecoinbroker']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1609868453770390286_2380764398,2017-11-07 00:54:20.891687,"['join._.f.ollowers.s.giveaway_x', 'noely_cenn', 'sotomayoreva', 'miriampdmoda', 'airies_boom', '_heleniii_', 'jlmdissl', 'luciaaa1443', 'xkflyaway', 'xemileighx', 'iman.xo', 'marketingbarbie', 'paprykmazurek', 'vanessaverdugaofficial', 'makemoremagicofficial']","['emmasky303', 'wanderthere5722', 'lou_ioh', 'moar_sound']"
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1609152330661789245_2380764398,2017-11-07 00:54:22.720685,"['angelizelabelladonna', 'x.free.f0llows_.samples.here__', 'sotomayoreva', 'raquel_fn', 'laeliimoyano', 'airies_boom', '_heleniii_', 'jacky_singer3110', 'miriampdmoda', 'luciaaa1443', 'amirelevan', 'mattdunnphotography', 'yosoyjuanse', 'noely_cenn', '69chebyrawka69']",[]
franco_aguerovip,2017-11-07 00:54:03.374715,http://picbear.com/media/1608000312052158564_2380764398,2017-11-07 00:54:24.166851,"['x.free.f0llows_.samples.here__', 'a.n.n.e.t.d', 'grab.free.fo11ower.s.x', 'sotomayoreva', 'tunestraffic', 'abii_maat', 'airies_boom', 'gain.free.f.0.11.0.w.z.x', 'soyfrancovip', 'presspassdaysi', 'kaymboshines', 'luciaaa1443', 'paty_angelika26', 'collect.5k.__f.0.ll.0.wers.x', 'vanessaverdugaofficial']","['picky.a.b', 'moar_sound', '7ftlifestyle']"
